#               time [ns]           Re(ampl) [MHz]
  1.25062531265632809E-02  6.66865590123744134E-05
  3.75187593796898478E-02  6.00183313477498093E-04
  6.25312656328164129E-02  1.66719966137596209E-03
  8.75437718859429781E-02  3.26778127936189211E-03
  1.12556278139069543E-01  5.40199667901503089E-03
  1.37568784392196108E-01  8.06993720290222205E-03
  1.62581290645322674E-01  1.12717170192233596E-02
  1.87593796898449239E-01  1.50074731150667828E-02
  2.12606303151575804E-01  1.92773652884822844E-02
  2.37618809404702369E-01  2.40815761390969496E-02
  2.62631315657828934E-01  2.94203110573737492E-02
  2.87643821910955499E-01  3.52937982126752536E-02
  3.12656328164082065E-01  4.17022885398368737E-02
  3.37668834417208630E-01  4.86460557245410596E-02
  3.62681340670335195E-01  5.61253961872509866E-02
  3.87693846923461760E-01  6.41406290658744216E-02
  4.12706353176588325E-01  7.26920961970578539E-02
  4.37718859429714890E-01  8.17801620962108067E-02
  4.62731365682841456E-01  9.14052139361354321E-02
  4.87743871935968021E-01  1.01567661524348818E-01
  5.12756378189094586E-01  1.12267937279102170E-01
  5.37768884442221151E-01  1.23506496204034422E-01
  5.62781390695347716E-01  1.35283815861514389E-01
  5.87793896948474281E-01  1.47600396344708951E-01
  6.12806403201600847E-01  1.60456760248194052E-01
  6.37818909454727412E-01  1.73853452637458272E-01
  6.62831415707853977E-01  1.87791041016786842E-01
  6.87843921960980542E-01  2.02270115296183939E-01
  7.12856428214107107E-01  2.17291287756671281E-01
  7.37868934467233673E-01  2.32855193014408490E-01
  7.62881440720360238E-01  2.48962487983502012E-01
  7.87893946973486803E-01  2.65613851837481763E-01
  8.12906453226613368E-01  2.82809985969441346E-01
  8.37918959479739933E-01  3.00551613950912622E-01
  8.62931465732866498E-01  3.18839481489383014E-01
  8.87943971985993064E-01  3.37674356384563834E-01
  9.12956478239119629E-01  3.57057028483301342E-01
  9.37968984492246194E-01  3.76988309633193019E-01
  9.62981490745372759E-01  3.97469033634996471E-01
  9.87993996998499324E-01  4.18500056193531200E-01
  1.01300650325162578E+00  4.40082254867547873E-01
  1.03801900950475234E+00  4.62216529018023847E-01
  1.06303151575787891E+00  4.84903799755480314E-01
  1.08804402201100547E+00  5.08145009885717425E-01
  1.11305652826413204E+00  5.31941123854374975E-01
  1.13806903451725860E+00  5.56293127690332678E-01
  1.16308154077038517E+00  5.81202028947584770E-01
  1.18809404702351173E+00  6.06668856646062959E-01
  1.21310655327663830E+00  6.32694661211001597E-01
  1.23811905952976486E+00  6.59280514411182628E-01
  1.26313156578289143E+00  6.86427509295765903E-01
  1.28814407203601800E+00  7.14136760129914450E-01
  1.31315657828914456E+00  7.42409402329240242E-01
  1.33816908454227113E+00  7.71246592392806019E-01
  1.36318159079539769E+00  8.00649507835006435E-01
  1.38819409704852426E+00  8.30619347116105855E-01
  1.41320660330165082E+00  8.61157329571644814E-01
  1.43821910955477739E+00  8.92264695340386216E-01
  1.46323161580790395E+00  9.23942705291209920E-01
  1.48824412206103052E+00  9.56192640948690054E-01
  1.51325662831415708E+00  9.89015804417375799E-01
  1.53826913456728365E+00  1.02241351830494054E+00
  1.56328164082041021E+00  1.05638712564395654E+00
  1.58829414707353678E+00  1.09093798981258905E+00
  1.61330665332666334E+00  1.12606749445394172E+00
  1.63831915957978991E+00  1.16177704339423671E+00
  1.66333166583291647E+00  1.19806806055973847E+00
  1.68834417208604304E+00  1.23494198989250448E+00
  1.71335667833916960E+00  1.27240029526485410E+00
  1.73836918459229617E+00  1.31044446039267481E+00
  1.76338169084542273E+00  1.34907598874751811E+00
  1.78839419709854930E+00  1.38829640346747052E+00
  1.81340670335167586E+00  1.42810724726681748E+00
  1.83841920960480243E+00  1.46851008234454983E+00
  1.86343171585792899E+00  1.50950649029165529E+00
  1.88844422211105556E+00  1.55109807199718808E+00
  1.91345672836418212E+00  1.59328644755320070E+00
  1.93846923461730869E+00  1.63607325615846988E+00
  1.96348174087043525E+00  1.67946015602109955E+00
  1.98849424712356182E+00  1.72344882425982115E+00
  2.01350675337668861E+00  1.76804095680428563E+00
  2.03851925962981539E+00  1.81323826829406931E+00
  2.06353176588294174E+00  1.85904249197658822E+00
  2.08854427213606808E+00  1.90545537960385714E+00
  2.11355677838919487E+00  1.95247870132798385E+00
  2.13856928464232166E+00  2.00011424559573836E+00
  2.16358179089544800E+00  2.04836381904173770E+00
  2.18859429714857434E+00  2.09722924638066477E+00
  2.21360680340170113E+00  2.14671237029827466E+00
  2.23861930965482792E+00  2.19681505134131649E+00
  2.26363181590795426E+00  2.24753916780627572E+00
  2.28864432216108060E+00  2.29888661562705332E+00
  2.31365682841420739E+00  2.35085930826150502E+00
  2.33866933466733418E+00  2.40345917657684982E+00
  2.36368184092046052E+00  2.45668816873404205E+00
  2.38869434717358686E+00  2.51054825007098170E+00
  2.41370685342671365E+00  2.56504140298464112E+00
  2.43871935967984044E+00  2.62016962681212462E+00
  2.46373186593296678E+00  2.67593493771062230E+00
  2.48874437218609312E+00  2.73233936853628911E+00
  2.51375687843921991E+00  2.78938496872209862E+00
  2.53876938469234670E+00  2.84707380415454159E+00
  2.56378189094547304E+00  2.90540795704929256E+00
  2.58879439719859938E+00  2.96438952582589055E+00
  2.61380690345172617E+00  3.02402062498124113E+00
  2.63881940970485296E+00  3.08430338496221434E+00
  2.66383191595797930E+00  3.14523995203703510E+00
  2.68884442221110564E+00  3.20683248816581656E+00
  2.71385692846423243E+00  3.26908317086989086E+00
  2.73886943471735922E+00  3.33199419310029343E+00
  2.76388194097048556E+00  3.39556776310501673E+00
  2.78889444722361191E+00  3.45980610429552016E+00
  2.81390695347673869E+00  3.52471145511191830E+00
  2.83891945972986548E+00  3.59028606888744095E+00
  2.86393196598299182E+00  3.65653221371170911E+00
  2.88894447223611817E+00  3.72345217229317438E+00
  2.91395697848924495E+00  3.79104824182042099E+00
  2.93896948474237174E+00  3.85932273382263658E+00
  2.96398199099549808E+00  3.92827797402895884E+00
  2.98899449724862443E+00  3.99791630222701277E+00
  3.01400700350175121E+00  4.06824007212032335E+00
  3.03901950975487800E+00  4.13925165118498128E+00
  3.06403201600800434E+00  4.21095342052511956E+00
  3.08904452226113069E+00  4.28334777472765360E+00
  3.11405702851425747E+00  4.35643712171590636E+00
  3.13906953476738426E+00  4.43022388260256861E+00
  3.16408204102051061E+00  4.50471049154135716E+00
  3.18909454727363695E+00  4.57989939557813752E+00
  3.21410705352676374E+00  4.65579305450086434E+00
  3.23911955977989052E+00  4.73239394068879893E+00
  3.26413206603301687E+00  4.80970453896062278E+00
  3.28914457228614321E+00  4.88772734642196838E+00
  3.31415707853927000E+00  4.96646487231174572E+00
  3.33916958479239678E+00  5.04591963784775110E+00
  3.36418209104552313E+00  5.12609417607144291E+00
  3.38919459729864947E+00  5.20699103169175004E+00
  3.41420710355177626E+00  5.28861276092810861E+00
  3.43921960980490304E+00  5.37096193135252431E+00
  3.46423211605802939E+00  5.45404112173097477E+00
  3.48924462231115573E+00  5.53785292186382261E+00
  3.51425712856428252E+00  5.62239993242547698E+00
  3.53926963481740930E+00  5.70768476480314657E+00
  3.56428214107053565E+00  5.79371004093492115E+00
  3.58929464732366199E+00  5.88047839314687337E+00
  3.61430715357678878E+00  5.96799246398955674E+00
  3.63931965982991557E+00  6.05625490607343853E+00
  3.66433216608304191E+00  6.14526838190385050E+00
  3.68934467233616825E+00  6.23503556371492351E+00
  3.71435717858929504E+00  6.32555913330285868E+00
  3.73936968484242183E+00  6.41684178185839915E+00
  3.76438219109554817E+00  6.50888620979857091E+00
  3.78939469734867451E+00  6.60169512659763313E+00
  3.81440720360180130E+00  6.69527125061730466E+00
  3.83941970985492809E+00  6.78961730893624438E+00
  3.86443221610805443E+00  6.88473603717884419E+00
  3.88944472236118077E+00  6.98063017934319952E+00
  3.91445722861430756E+00  7.07730248762848912E+00
  3.93946973486743435E+00  7.17475572226153879E+00
  3.96448224112056069E+00  7.27299265132276229E+00
  3.98949474737368703E+00  7.37201605057137321E+00
  4.01450725362681382E+00  7.47182870326987914E+00
  4.03951975987994061E+00  7.57243340000803755E+00
  4.06453226613306740E+00  7.67383293852587833E+00
  4.08954477238619329E+00  7.77603012353638334E+00
  4.11455727863932008E+00  7.87902776654726988E+00
  4.13956978489244687E+00  7.98282868568221904E+00
  4.16458229114557277E+00  8.08743570550146096E+00
  4.18959479739869955E+00  8.19285165682176952E+00
  4.21460730365182634E+00  8.29907937653567096E+00
  4.23961980990495313E+00  8.40612170743032294E+00
  4.26463231615807992E+00  8.51398149800543536E+00
  4.28964482241120582E+00  8.62266160229091660E+00
  4.31465732866433260E+00  8.73216487966367261E+00
  4.33966983491745939E+00  8.84249419466402387E+00
  4.36468234117058529E+00  8.95365241681138890E+00
  4.38969484742371208E+00  9.06564242041950585E+00
  4.41470735367683886E+00  9.17846708441100034E+00
  4.43971985992996565E+00  9.29212929213148797E+00
  4.46473236618309244E+00  9.40663193116311902E+00
  4.48974487243621834E+00  9.52197789313751564E+00
  4.51475737868934512E+00  9.63817007354823474E+00
  4.53976988494247191E+00  9.75521137156277618E+00
  4.56478239119559781E+00  9.87310468983386258E+00
  4.58979489744872460E+00  9.99185293431055044E+00
  4.61480740370185138E+00  1.01114590140485170E+01
  4.63981990995497817E+00  1.02319258410200078E+01
  4.66483241620810496E+00  1.03532563299233704E+01
  4.68984492246123086E+00  1.04754533979920161E+01
  4.71485742871435765E+00  1.05985199648029198E+01
  4.73986993496748443E+00  1.07224589520846969E+01
  4.76488244122061033E+00  1.08472732835252437E+01
  4.78989494747373712E+00  1.09729658845789757E+01
  4.81490745372686391E+00  1.10995396822734573E+01
  4.83991995997999069E+00  1.12269976050158995E+01
  4.86493246623311748E+00  1.13553425823989720E+01
  4.88994497248624338E+00  1.14845775450063972E+01
  4.91495747873937017E+00  1.16147054242180445E+01
  4.93996998499249695E+00  1.17457291520146736E+01
  4.96498249124562285E+00  1.18776516607823002E+01
  4.98999499749874964E+00  1.20104758831162126E+01
  5.01500750375187643E+00  1.21442047516245726E+01
  5.04002001000500321E+00  1.22788411987317421E+01
  5.06503251625813000E+00  1.24143881564811487E+01
  5.09004502251125590E+00  1.25508485563379661E+01
  5.11505752876438269E+00  1.26882253289913329E+01
  5.14007003501750948E+00  1.28265214041563151E+01
  5.16508254127063537E+00  1.29657397103755478E+01
  5.19009504752376216E+00  1.31058831748206863E+01
  5.21510755377688895E+00  1.32469547230932374E+01
  5.24012006003001574E+00  1.33889572790255631E+01
  5.26513256628314252E+00  1.35318937644812110E+01
  5.29014507253626842E+00  1.36757670991552054E+01
  5.31515757878939521E+00  1.38205802003740725E+01
  5.34017008504252200E+00  1.39663359828954015E+01
  5.36518259129564790E+00  1.41130373587075546E+01
  5.39019509754877468E+00  1.42606872368286695E+01
  5.41520760380190147E+00  1.44092885231059125E+01
  5.44022011005502826E+00  1.45588441200140970E+01
  5.46523261630815504E+00  1.47093569264544453E+01
  5.49024512256128094E+00  1.48608298375529362E+01
  5.51525762881440773E+00  1.50132657444585416E+01
  5.54027013506753452E+00  1.51666675341412329E+01
  5.56528264132066042E+00  1.53210380891899245E+01
  5.59029514757378720E+00  1.54763802876101781E+01
  5.61530765382691399E+00  1.56326970026217307E+01
  5.64032016008004078E+00  1.57899911024559376E+01
  5.66533266633316757E+00  1.59482654501530856E+01
  5.69034517258629347E+00  1.61075229033595200E+01
  5.71535767883942025E+00  1.62677663141247066E+01
  5.74037018509254704E+00  1.64289985286981981E+01
  5.76538269134567294E+00  1.65912223873263969E+01
  5.79039519759879973E+00  1.67544407240494166E+01
  5.81540770385192651E+00  1.69186563664976504E+01
  5.84042021010505330E+00  1.70838721356884662E+01
  5.86543271635818009E+00  1.72500908458226831E+01
  5.89044522261130599E+00  1.74173153040810149E+01
  5.91545772886443277E+00  1.75855483104206272E+01
  5.94047023511755956E+00  1.77547926573714570E+01
  5.96548274137068546E+00  1.79250511298325854E+01
  5.99049524762381225E+00  1.80963265048686068E+01
  6.01550775387693903E+00  1.82686215515060653E+01
  6.04052026013006582E+00  1.84419390305296176E+01
  6.06553276638319261E+00  1.86162816942785589E+01
  6.09054527263631851E+00  1.87916522864431741E+01
  6.11555777888944530E+00  1.89680535418610354E+01
  6.14057028514257208E+00  1.91454881863135142E+01
  6.16558279139569798E+00  1.93239589363223665E+01
  6.19059529764882477E+00  1.95034684989460416E+01
  6.21560780390195156E+00  1.96840195715764672E+01
  6.24062031015507834E+00  1.98656148417356633E+01
  6.26563281640820513E+00  2.00482569868725164E+01
  6.29064532266133103E+00  2.02319486741595540E+01
  6.31565782891445782E+00  2.04166925602899951E+01
  6.34067033516758460E+00  2.06024912912747133E+01
  6.36568284142071050E+00  2.07893475022394156E+01
  6.39069534767383729E+00  2.09772638172219992E+01
  6.41570785392696408E+00  2.11662428489699153E+01
  6.44072036018009086E+00  2.13562871987377569E+01
  6.46573286643321765E+00  2.15473994560849746E+01
  6.49074537268634355E+00  2.17395821986738262E+01
  6.51575787893947034E+00  2.19328379920673306E+01
  6.54077038519259713E+00  2.21271693895275909E+01
  6.56578289144572302E+00  2.23225789318141601E+01
  6.59079539769884981E+00  2.25190691469827300E+01
  6.61580790395197660E+00  2.27166425501839200E+01
  6.64082041020510339E+00  2.29153016434622963E+01
  6.66583291645823017E+00  2.31150489155556755E+01
  6.69084542271135607E+00  2.33158868416946703E+01
  6.71585792896448286E+00  2.35178178834023512E+01
  6.74087043521760965E+00  2.37208444882942828E+01
  6.76588294147073555E+00  2.39249690898787932E+01
  6.79089544772386233E+00  2.41301941073575286E+01
  6.81590795397698912E+00  2.43365219454261279E+01
  6.84092046023011591E+00  2.45439549940754880E+01
  6.86593296648324269E+00  2.47524956283930280E+01
  6.89094547273636859E+00  2.49621462083644410E+01
  6.91595797898949538E+00  2.51729090786756764E+01
  6.94097048524262217E+00  2.53847865685152669E+01
  6.96598299149574807E+00  2.55977809913769754E+01
  6.99099549774887485E+00  2.58118946448628606E+01
  7.01600800400200164E+00  2.60271298104865636E+01
  7.04102051025512843E+00  2.62434887534769814E+01
  7.06603301650825522E+00  2.64609737225824624E+01
  7.09104552276138111E+00  2.66795869498751053E+01
  7.11605802901450790E+00  2.68993306505557150E+01
  7.14107053526763469E+00  2.71202070227589793E+01
  7.16608304152076059E+00  2.73422182473590389E+01
  7.19109554777388738E+00  2.75653664877756484E+01
  7.21610805402701416E+00  2.77896538897805243E+01
  7.24112056028014095E+00  2.80150825813043056E+01
  7.26613306653326774E+00  2.82416546722437722E+01
  7.29114557278639364E+00  2.84693722542697571E+01
  7.31615807903952042E+00  2.86982374006352430E+01
  7.34117058529264721E+00  2.89282521659840874E+01
  7.36618309154577311E+00  2.91594185861601787E+01
  7.39119559779889990E+00  2.93917386780171057E+01
  7.41620810405202668E+00  2.96252144392282091E+01
  7.44122061030515347E+00  2.98598478480972247E+01
  7.46623311655828026E+00  3.00956408633694359E+01
  7.49124562281140616E+00  3.03325954240432836E+01
  7.51625812906453294E+00  3.05707134491825805E+01
  7.54127063531765973E+00  3.08099968377291162E+01
  7.56628314157078563E+00  3.10504474683159408E+01
  7.59129564782391242E+00  3.12920671990811385E+01
  7.61630815407703921E+00  3.15348578674822235E+01
  7.64132066033016599E+00  3.17788212901109297E+01
  7.66633316658329278E+00  3.20239592625087326E+01
  7.69134567283641868E+00  3.22702735589829430E+01
  7.71635817908954547E+00  3.25177659324233659E+01
  7.74137068534267225E+00  3.27664381141194596E+01
  7.76638319159579815E+00  3.30162918135782775E+01
  7.79139569784892494E+00  3.32673287183428812E+01
  7.81640820410205173E+00  3.35195504938114581E+01
  7.84142071035517851E+00  3.37729587830570779E+01
  7.86643321660830530E+00  3.40275552066479889E+01
  7.89144572286143120E+00  3.42833413624686401E+01
  7.91645822911455799E+00  3.45403188255414904E+01
  7.94147073536768477E+00  3.47984891478491463E+01
  7.96648324162081067E+00  3.50578538581574151E+01
  7.99149574787393746E+00  3.53184144618391826E+01
  8.01650825412706425E+00  3.55801724406985187E+01
  8.04152076038019104E+00  3.58431292527959187E+01
  8.06653326663331782E+00  3.61072863322741000E+01
  8.09154577288644461E+00  3.63726450891843669E+01
  8.11655827913957140E+00  3.66392069093139057E+01
  8.14157078539269641E+00  3.69069731540137767E+01
  8.16658329164582319E+00  3.71759451600275597E+01
  8.19159579789894998E+00  3.74461242393207456E+01
  8.21660830415207677E+00  3.77175116789109595E+01
  8.24162081040520356E+00  3.79901087406988509E+01
  8.26663331665833034E+00  3.82639166612998665E+01
  8.29164582291145713E+00  3.85389366518767176E+01
  8.31665832916458214E+00  3.88151698979726731E+01
  8.34167083541770893E+00  3.90926175593456193E+01
  8.36668334167083572E+00  3.93712807698028300E+01
  8.39169584792396250E+00  3.96511606370368099E+01
  8.41670835417708929E+00  3.99322582424616215E+01
  8.44172086043021608E+00  4.02145746410503193E+01
  8.46673336668334287E+00  4.04981108611730320E+01
  8.49174587293646965E+00  4.07828679044359177E+01
  8.51675837918959644E+00  4.10688467455210784E+01
  8.54177088544272145E+00  4.13560483320271430E+01
  8.56678339169584824E+00  4.16444735843108944E+01
  8.59179589794897502E+00  4.19341233953296069E+01
  8.61680840420210181E+00  4.22249986304843858E+01
  8.64182091045522860E+00  4.25171001274642606E+01
  8.66683341670835539E+00  4.28104286960913569E+01
  8.69184592296148217E+00  4.31049851181667592E+01
  8.71685842921460718E+00  4.34007701473173668E+01
  8.74187093546773397E+00  4.36977845088437675E+01
  8.76688344172086076E+00  4.39960288995688629E+01
  8.79189594797398755E+00  4.42955039876874253E+01
  8.81690845422711433E+00  4.45962104126167631E+01
  8.84192096048024112E+00  4.48981487848481891E+01
  8.86693346673336791E+00  4.52013196857993904E+01
  8.89194597298649470E+00  4.55057236676679508E+01
  8.91695847923962148E+00  4.58113612532855612E+01
  8.94197098549274649E+00  4.61182329359734808E+01
  8.96698349174587328E+00  4.64263391793987807E+01
  8.99199599799900007E+00  4.67356804174316949E+01
  9.01700850425212685E+00  4.70462570540037675E+01
  9.04202101050525364E+00  4.73580694629672081E+01
  9.06703351675838043E+00  4.76711179879552418E+01
  9.09204602301150722E+00  4.79854029422432689E+01
  9.11705852926463223E+00  4.83009246086112682E+01
  9.14207103551775901E+00  4.86176832392070679E+01
  9.16708354177088580E+00  4.89356790554107448E+01
  9.19209604802401259E+00  4.92549122476999344E+01
  9.21710855427713938E+00  4.95753829755164332E+01
  9.24212106053026616E+00  4.98970913671335694E+01
  9.26713356678339295E+00  5.02200375195247659E+01
  9.29214607303651974E+00  5.05442214982331208E+01
  9.31715857928964653E+00  5.08696433372421879E+01
  9.34217108554277154E+00  5.11963030388476596E+01
  9.36718359179589832E+00  5.15242005735302016E+01
  9.39219609804902511E+00  5.18533358798294230E+01
  9.41720860430215190E+00  5.21837088642187865E+01
  9.44222111055527868E+00  5.25153194009818947E+01
  9.46723361680840547E+00  5.28481673320895737E+01
  9.49224612306153226E+00  5.31822524670783281E+01
  9.51725862931465727E+00  5.35175745829296474E+01
  9.54227113556778406E+00  5.38541334239508345E+01
  9.56728364182091084E+00  5.41919287016564084E+01
  9.59229614807403763E+00  5.45309600946512631E+01
  9.61730865432716442E+00  5.48712272485143799E+01
  9.64232116058029121E+00  5.52127297756842523E+01
  9.66733366683341799E+00  5.55554672553449862E+01
  9.69234617308654478E+00  5.58994392333137711E+01
  9.71735867933967157E+00  5.62446452219296305E+01
  9.74237118559279658E+00  5.65910846999431172E+01
  9.76738369184592337E+00  5.69387571124073091E+01
  9.79239619809905015E+00  5.72876618705699840E+01
  9.81740870435217694E+00  5.76377983517669463E+01
  9.84242121060530373E+00  5.79891658993165393E+01
  9.86743371685843051E+00  5.83417638224154942E+01
  9.89244622311155730E+00  5.86955913960357378E+01
  9.91745872936468231E+00  5.90506478608225862E+01
  9.94247123561780910E+00  5.94069324229942879E+01
  9.96748374187093589E+00  5.97644442542422922E+01
  9.99249624812406267E+00  6.01231824916333153E+01
  1.00175087543771895E+01  6.04831462375123010E+01
  1.00425212606303162E+01  6.08443345594067964E+01
  1.00675337668834430E+01  6.12067464899322857E+01
  1.00925462731365698E+01  6.15703810266990814E+01
  1.01175587793896966E+01  6.19352371322204647E+01
  1.01425712856428216E+01  6.23013137338216936E+01
  1.01675837918959484E+01  6.26686097235508583E+01
  1.01925962981490752E+01  6.30371239580904401E+01
  1.02176088044022020E+01  6.34068552586703831E+01
  1.02426213106553288E+01  6.37778024109827726E+01
  1.02676338169084556E+01  6.41499641650970318E+01
  1.02926463231615823E+01  6.45233392353771933E+01
  1.03176588294147074E+01  6.48979263003998170E+01
  1.03426713356678341E+01  6.52737240028738483E+01
  1.03676838419209609E+01  6.56507309495610230E+01
  1.03926963481740877E+01  6.60289457111983182E+01
  1.04177088544272145E+01  6.64083668224210442E+01
  1.04427213606803413E+01  6.67889927816879236E+01
  1.04677338669334681E+01  6.71708220512067982E+01
  1.04927463731865949E+01  6.75538530568621525E+01
