#    row  column                  Re(val)                  Im(val)
       2       2   1.0000000000000000E+00   0.0000000000000000E+00
       3       3   2.0000000000000004E+00   0.0000000000000000E+00
       4       4   2.9999999999999996E+00   0.0000000000000000E+00
       5       5   4.0000000000000000E+00   0.0000000000000000E+00
       6       6   5.0000000000000009E+00   0.0000000000000000E+00
       8       8   1.0000000000000000E+00   0.0000000000000000E+00
       9       9   2.0000000000000004E+00   0.0000000000000000E+00
      10      10   2.9999999999999996E+00   0.0000000000000000E+00
      11      11   4.0000000000000000E+00   0.0000000000000000E+00
      12      12   5.0000000000000009E+00   0.0000000000000000E+00
      14      14   1.0000000000000000E+00   0.0000000000000000E+00
      15      15   2.0000000000000004E+00   0.0000000000000000E+00
      16      16   2.9999999999999996E+00   0.0000000000000000E+00
      17      17   4.0000000000000000E+00   0.0000000000000000E+00
      18      18   5.0000000000000009E+00   0.0000000000000000E+00
      20      20   1.0000000000000000E+00   0.0000000000000000E+00
      21      21   2.0000000000000004E+00   0.0000000000000000E+00
      22      22   2.9999999999999996E+00   0.0000000000000000E+00
      23      23   4.0000000000000000E+00   0.0000000000000000E+00
      24      24   5.0000000000000009E+00   0.0000000000000000E+00
      26      26   1.0000000000000000E+00   0.0000000000000000E+00
      27      27   2.0000000000000004E+00   0.0000000000000000E+00
      28      28   2.9999999999999996E+00   0.0000000000000000E+00
      29      29   4.0000000000000000E+00   0.0000000000000000E+00
      30      30   5.0000000000000009E+00   0.0000000000000000E+00
      32      32   1.0000000000000000E+00   0.0000000000000000E+00
      33      33   2.0000000000000004E+00   0.0000000000000000E+00
      34      34   2.9999999999999996E+00   0.0000000000000000E+00
      35      35   4.0000000000000000E+00   0.0000000000000000E+00
      36      36   5.0000000000000009E+00   0.0000000000000000E+00
      38      38   1.0000000000000000E+00   0.0000000000000000E+00
      39      39   2.0000000000000004E+00   0.0000000000000000E+00
      40      40   2.9999999999999996E+00   0.0000000000000000E+00
      41      41   4.0000000000000000E+00   0.0000000000000000E+00
      42      42   5.0000000000000009E+00   0.0000000000000000E+00
      44      44   1.0000000000000000E+00   0.0000000000000000E+00
      45      45   2.0000000000000004E+00   0.0000000000000000E+00
      46      46   2.9999999999999996E+00   0.0000000000000000E+00
      47      47   4.0000000000000000E+00   0.0000000000000000E+00
      48      48   5.0000000000000009E+00   0.0000000000000000E+00
      50      50   1.0000000000000000E+00   0.0000000000000000E+00
      51      51   2.0000000000000004E+00   0.0000000000000000E+00
      52      52   2.9999999999999996E+00   0.0000000000000000E+00
      53      53   4.0000000000000000E+00   0.0000000000000000E+00
      54      54   5.0000000000000009E+00   0.0000000000000000E+00
      56      56   1.0000000000000000E+00   0.0000000000000000E+00
      57      57   2.0000000000000004E+00   0.0000000000000000E+00
      58      58   2.9999999999999996E+00   0.0000000000000000E+00
      59      59   4.0000000000000000E+00   0.0000000000000000E+00
      60      60   5.0000000000000009E+00   0.0000000000000000E+00
      62      62   1.0000000000000000E+00   0.0000000000000000E+00
      63      63   2.0000000000000004E+00   0.0000000000000000E+00
      64      64   2.9999999999999996E+00   0.0000000000000000E+00
      65      65   4.0000000000000000E+00   0.0000000000000000E+00
      66      66   5.0000000000000009E+00   0.0000000000000000E+00
      68      68   1.0000000000000000E+00   0.0000000000000000E+00
      69      69   2.0000000000000004E+00   0.0000000000000000E+00
      70      70   2.9999999999999996E+00   0.0000000000000000E+00
      71      71   4.0000000000000000E+00   0.0000000000000000E+00
      72      72   5.0000000000000009E+00   0.0000000000000000E+00
      74      74   1.0000000000000000E+00   0.0000000000000000E+00
      75      75   2.0000000000000004E+00   0.0000000000000000E+00
      76      76   2.9999999999999996E+00   0.0000000000000000E+00
      77      77   4.0000000000000000E+00   0.0000000000000000E+00
      78      78   5.0000000000000009E+00   0.0000000000000000E+00
      80      80   1.0000000000000000E+00   0.0000000000000000E+00
      81      81   2.0000000000000004E+00   0.0000000000000000E+00
      82      82   2.9999999999999996E+00   0.0000000000000000E+00
      83      83   4.0000000000000000E+00   0.0000000000000000E+00
      84      84   5.0000000000000009E+00   0.0000000000000000E+00
      86      86   1.0000000000000000E+00   0.0000000000000000E+00
      87      87   2.0000000000000004E+00   0.0000000000000000E+00
      88      88   2.9999999999999996E+00   0.0000000000000000E+00
      89      89   4.0000000000000000E+00   0.0000000000000000E+00
      90      90   5.0000000000000009E+00   0.0000000000000000E+00
      92      92   1.0000000000000000E+00   0.0000000000000000E+00
      93      93   2.0000000000000004E+00   0.0000000000000000E+00
      94      94   2.9999999999999996E+00   0.0000000000000000E+00
      95      95   4.0000000000000000E+00   0.0000000000000000E+00
      96      96   5.0000000000000009E+00   0.0000000000000000E+00
      98      98   1.0000000000000000E+00   0.0000000000000000E+00
      99      99   2.0000000000000004E+00   0.0000000000000000E+00
     100     100   2.9999999999999996E+00   0.0000000000000000E+00
     101     101   4.0000000000000000E+00   0.0000000000000000E+00
     102     102   5.0000000000000009E+00   0.0000000000000000E+00
     104     104   1.0000000000000000E+00   0.0000000000000000E+00
     105     105   2.0000000000000004E+00   0.0000000000000000E+00
     106     106   2.9999999999999996E+00   0.0000000000000000E+00
     107     107   4.0000000000000000E+00   0.0000000000000000E+00
     108     108   5.0000000000000009E+00   0.0000000000000000E+00
     110     110   1.0000000000000000E+00   0.0000000000000000E+00
     111     111   2.0000000000000004E+00   0.0000000000000000E+00
     112     112   2.9999999999999996E+00   0.0000000000000000E+00
     113     113   4.0000000000000000E+00   0.0000000000000000E+00
     114     114   5.0000000000000009E+00   0.0000000000000000E+00
     116     116   1.0000000000000000E+00   0.0000000000000000E+00
     117     117   2.0000000000000004E+00   0.0000000000000000E+00
     118     118   2.9999999999999996E+00   0.0000000000000000E+00
     119     119   4.0000000000000000E+00   0.0000000000000000E+00
     120     120   5.0000000000000009E+00   0.0000000000000000E+00
     122     122   1.0000000000000000E+00   0.0000000000000000E+00
     123     123   2.0000000000000004E+00   0.0000000000000000E+00
     124     124   2.9999999999999996E+00   0.0000000000000000E+00
     125     125   4.0000000000000000E+00   0.0000000000000000E+00
     126     126   5.0000000000000009E+00   0.0000000000000000E+00
     128     128   1.0000000000000000E+00   0.0000000000000000E+00
     129     129   2.0000000000000004E+00   0.0000000000000000E+00
     130     130   2.9999999999999996E+00   0.0000000000000000E+00
     131     131   4.0000000000000000E+00   0.0000000000000000E+00
     132     132   5.0000000000000009E+00   0.0000000000000000E+00
     134     134   1.0000000000000000E+00   0.0000000000000000E+00
     135     135   2.0000000000000004E+00   0.0000000000000000E+00
     136     136   2.9999999999999996E+00   0.0000000000000000E+00
     137     137   4.0000000000000000E+00   0.0000000000000000E+00
     138     138   5.0000000000000009E+00   0.0000000000000000E+00
     140     140   1.0000000000000000E+00   0.0000000000000000E+00
     141     141   2.0000000000000004E+00   0.0000000000000000E+00
     142     142   2.9999999999999996E+00   0.0000000000000000E+00
     143     143   4.0000000000000000E+00   0.0000000000000000E+00
     144     144   5.0000000000000009E+00   0.0000000000000000E+00
     146     146   1.0000000000000000E+00   0.0000000000000000E+00
     147     147   2.0000000000000004E+00   0.0000000000000000E+00
     148     148   2.9999999999999996E+00   0.0000000000000000E+00
     149     149   4.0000000000000000E+00   0.0000000000000000E+00
     150     150   5.0000000000000009E+00   0.0000000000000000E+00
