#               time [ns]                      <n>
   0.0000000000000000E+00   0.0000000000000000E+00
   2.5012506253126565E-02   2.7453124433812849E-17
   5.0025012506253130E-02   2.7447782382451879E-15
   7.5037518759379696E-02   3.3609449731743002E-14
   1.0005002501250626E-01   1.9347446847557186E-13
   1.2506253126563283E-01   7.4592802260481514E-13
   1.5007503751875939E-01   2.2389779382656456E-12
   1.7508754377188596E-01   5.6604927225343505E-12
   2.0010005002501252E-01   1.2626647041977758E-11
   2.2511255627813909E-01   2.5602458574829881E-11
   2.5012506253126565E-01   4.8153345978456626E-11
   2.7513756878439222E-01   8.5226484869567776E-11
   3.0015007503751878E-01   1.4346059084999294E-10
   3.2516258129064535E-01   2.3152261633444241E-10
   3.5017508754377191E-01   3.6046971183878264E-10
   3.7518759379689848E-01   5.4413467303384246E-10
   4.0020010005002504E-01   7.9953297280459043E-10
   4.2521260630315161E-01   1.1472893632931809E-09
   4.5022511255627817E-01   1.6120819269362773E-09
   4.7523761880940474E-01   2.2231013582891822E-09
   5.0025012506253130E-01   3.0145231703899337E-09
   5.2526263131565787E-01   4.0259904409483249E-09
   5.5027513756878443E-01   5.3031046451060031E-09
   5.7528764382191100E-01   6.8979220632282582E-09
   6.0030015007503756E-01   8.8694532044407195E-09
   6.2531265632816413E-01   1.1284162649658370E-08
   6.5032516258129069E-01   1.4216466691886852E-08
   6.7533766883441726E-01   1.7749226136755588E-08
   7.0035017508754382E-01   2.1974231622722843E-08
   7.2536268134067039E-01   2.6992678828221800E-08
   7.5037518759379696E-01   3.2915630952272532E-08
   7.7538769384692352E-01   3.9864465885741458E-08
   8.0040020010005009E-01   4.7971305532454924E-08
   8.2541270635317676E-01   5.7379424792676716E-08
   8.5042521260630322E-01   6.8243637785920002E-08
   8.7543771885942978E-01   8.0730658965497692E-08
   9.0045022511255635E-01   9.5019436863425753E-08
   9.2546273136568291E-01   1.1130145830101233E-07
   9.5047523761880948E-01   1.2978102100740581E-07
   9.7548774387193604E-01   1.5067547270520870E-07
   1.0005002501250626E+00   1.7421541484858659E-07
   1.0255127563781892E+00   2.0064486933476829E-07
   1.0505252626313157E+00   2.3022140665389630E-07
   1.0755377688844423E+00   2.6321623409449240E-07
   1.1005502751375689E+00   2.9991424278168602E-07
   1.1255627813906954E+00   3.4061401249241363E-07
   1.1505752876438220E+00   3.8562777336535661E-07
   1.1755877938969486E+00   4.3528132380284938E-07
   1.2006003001500751E+00   4.8991390404679529E-07
   1.2256128064032017E+00   5.4987802510001154E-07
   1.2506253126563283E+00   6.1553925285780081E-07
   1.2756378189094548E+00   6.8727594751116359E-07
   1.3006503251625814E+00   7.6547895848220149E-07
   1.3256628314157080E+00   8.5055127535325480E-07
   1.3506753376688345E+00   9.4290763545328827E-07
   1.3756878439219611E+00   1.0429740889673807E-06
   1.4007003501750876E+00   1.1511875226370286E-06
   1.4257128564282142E+00   1.2679951433196014E-06
   1.4507253626813408E+00   1.3938539228738695E-06
   1.4757378689344673E+00   1.5292300060344322E-06
   1.5007503751875939E+00   1.6745980831301330E-06
   1.5257628814407205E+00   1.8304407296895493E-06
   1.5507753876938470E+00   1.9972477151595870E-06
   1.5757878939469736E+00   2.1755152831403244E-06
   1.6008004002001002E+00   2.3657454057098351E-06
   1.6258129064532270E+00   2.5684450145760670E-06
   1.6508254127063535E+00   2.7841252119481698E-06
   1.6758379189594801E+00   3.0133004641664936E-06
   1.7008504252126064E+00   3.2564877812678717E-06
   1.7258629314657330E+00   3.5142058857904116E-06
   1.7508754377188596E+00   3.7869743742389979E-06
   1.7758879439719861E+00   4.0753128747388123E-06
   1.8009004502251127E+00   4.3797402044983700E-06
   1.8259129564782393E+00   4.7007735307860248E-06
   1.8509254627313658E+00   5.0389275391934007E-06
   1.8759379689844924E+00   5.3947136130160830E-06
   1.9009504752376190E+00   5.7686390276250539E-06
   1.9259629814907455E+00   6.1612061637320787E-06
   1.9509754877438721E+00   6.5729117434677834E-06
   1.9759879939969986E+00   7.0042460931925501E-06
   2.0010005002501252E+00   7.4556924369470164E-06
   2.0260130065032516E+00   7.9277262244214757E-06
   2.0510255127563783E+00   8.4208144972807096E-06
   2.0760380190095047E+00   8.9354152976236186E-06
   2.1010505252626315E+00   9.4719771222847648E-06
   2.1260630315157578E+00   1.0030938426598260E-05
   2.1510755377688846E+00   1.0612727181142656E-05
   2.1760880440220109E+00   1.1217760484869569E-05
   2.2011005502751377E+00   1.1846444237888328E-05
   2.2261130565282641E+00   1.2499172877034418E-05
   2.2511255627813909E+00   1.3176329177191209E-05
   2.2761380690345177E+00   1.3878284121162854E-05
   2.3011505752876440E+00   1.4605396840711313E-05
   2.3261630815407708E+00   1.5358014631173285E-05
   2.3511755877938971E+00   1.6136473041863248E-05
   2.3761880940470239E+00   1.6941096044248024E-05
